EXIOBASE_code,EXIOBASE_industry_code,Year,Deforestation_area_ha,Deforestation_emissions_incl_peat_MtCO2,Deforestation_emissions_excl_peat_MtCO2
AU,i01.h,2014,11.3255251953879,0.00388460063917656,0.00263224131181195
AU,i01.h,2015,0,0.00120644338678619,0
AU,i01.h,2016,0,0.0012787237641016,0
AU,i01.h,2017,0.0605194378643134,0.00115715738034513,2.07191848281464e-05
AU,i01.h,2018,0.0605194378643134,0.00127847400005983,2.07191848281464e-05
AU,i01.i,2005,42001.2500303907,9.44181436102358,9.44181436102358
AU,i01.i,2006,42001.2500303907,9.44181436102358,9.44181436102358
AU,i01.i,2007,42001.2500303907,9.44181436102358,9.44181436102358
AU,i01.i,2008,42001.2500303907,9.44181436102358,9.44181436102358
AU,i01.i,2009,43235.9595719603,9.81739151449568,9.81739151449568
AU,i01.i,2010,1234.70954156966,0.375577153472103,0.375577153472103
AU,i01.i,2011,1234.70954156966,0.375577153472103,0.375577153472103
AU,i01.i,2012,1234.70954156966,0.375577153472103,0.375577153472103
AU,i01.i,2013,1234.70954156966,0.375577153472103,0.375577153472103
AU,i01.i,2016,92798.8,24.5882393269186,24.5882393269186
AU,i01.i,2017,144529.62335465,39.3964911945141,39.3964911945141
AU,i01.i,2018,144529.62335465,39.3964911945141,39.3964911945141
AU,i02,2005,55840.5499696093,-1.26746680104485,-1.26746680104485
AU,i02,2006,55840.5499696093,-0.357997770977619,-0.357997770977619
AU,i02,2007,55840.5499696093,0.695856194298342,0.695856194298342
AU,i02,2008,55840.5499696093,0.963067889144662,0.963067889144662
AU,i02,2009,43363.1067725185,0.15623772731219,0.15623772731219
AU,i02,2010,46155.3482633031,-0.0707732825848618,-0.0707732825848618
AU,i02,2011,42487.348263303,0.482624870304471,0.482624870304471
AU,i02,2012,38819.348263303,0.57503789190753,0.57503789190753
AU,i02,2013,35151.348263303,1.22423238774366,1.22423238774366
AU,i02,2014,40935.4581270605,1.50679595960906,1.50679595960906
AU,i02,2015,39277.3333333333,1.75493315944953,1.75493315944953
AU,i02,2016,29281.3333333333,1.19202502534617,1.19202502534617
AU,i02,2017,19285.3333333333,0.92370050678089,0.92370050678089
AU,i02,2018,9289.33333333333,0.368833783386853,0.368833783386853
BR,i01.a,2005,63910.3708126541,34.1628177618976,33.4844336785685
BR,i01.a,2006,58133.7989097226,30.6492763875572,30.132349418484
BR,i01.a,2007,39916.567868202,19.9949541541508,19.4940536067612
BR,i01.a,2008,14136.0446659319,6.04712774332806,5.5718142961915
BR,i01.a,2009,12334.2496853366,5.38705406297224,4.90338934541909
BR,i01.a,2010,14041.186965007,6.31993459091113,5.8645923518142
BR,i01.a,2011,14107.7769227509,6.27054060101563,5.81130895356151
BR,i01.a,2012,10598.4615015904,4.83669193623079,4.4447200711603
BR,i01.a,2013,10371.0529478086,4.91152875075273,4.5353478598719
BR,i01.a,2014,10131.6206163469,5.04401581025048,4.66970873104086
BR,i01.a,2015,8669.45631312721,4.5484330545089,4.20666587353383
